employee_id,age,salary,region,department,years_experience,is_manager,bonus_pct,hire_date
E001,28,45000,North,Sales,2,False,0.05,2022-01-15
E002,35,65000,South,Engineering,8,True,0.10,2015-03-22
E003,42,72000,East,Engineering,12,True,0.12,2011-07-10
E004,29,48000,West,Sales,3,False,0.05,2021-06-01
E005,38,68000,North,Marketing,9,False,0.08,2014-11-05
E006,31,52000,South,Sales,5,False,0.06,2019-02-14
E007,45,85000,East,Engineering,18,True,0.15,2005-09-30
E008,27,42000,North,Sales,1,False,0.04,2023-05-20
E009,,55000,West,Operations,7,,0.07,2016-08-12
E010,33,58000,South,Marketing,6,False,0.06,2017-12-03
E011,39,70000,East,Engineering,11,True,0.11,2012-04-18
E012,29,48000,North,Sales,3,False,0.05,2021-01-25
E013,44,78000,West,Engineering,15,True,0.13,2008-10-14
E014,26,40000,South,Operations,1,False,0.03,2023-08-07
E015,37,62000,North,Marketing,8,False,0.08,2015-06-22
E016,32,55000,East,Operations,6,False,0.06,2018-03-11
E017,50,95000,North,Engineering,22,True,0.18,2001-02-28
E018,28,45000,West,Sales,2,False,0.05,2022-11-10
E019,41,75000,South,Engineering,13,True,0.12,2010-05-19
E020,30,50000,East,Sales,4,False,0.05,2020-09-08
E021,,48000,North,Operations,3,False,0.05,2021-04-12
E022,35,65000,South,Engineering,8,True,0.10,2015-12-01
E023,29,48000,West,Sales,3,False,0.05,2021-06-15
E024,38,68000,East,Marketing,9,False,0.08,2014-08-20
E025,33,58000,North,Operations,6,False,0.06,2017-01-30
E026,42,72000,South,Engineering,12,True,0.12,2011-10-25
E027,27,42000,West,Sales,1,False,0.04,2023-03-15
E028,31,52000,East,Marketing,5,False,0.06,2019-07-22
E029,45,85000,North,Engineering,18,True,0.15,2005-06-10
E030,28,45000,South,Sales,2,False,0.05,2022-02-18
E031,36,60000,West,Operations,7,False,0.07,2016-09-05
E032,40,74000,East,Engineering,14,True,0.13,2009-11-12
E033,,52000,North,Sales,5,False,0.06,2019-03-08
E034,32,55000,South,Operations,6,False,0.06,2018-05-14
E035,47,88000,West,Engineering,20,True,0.16,2003-04-22
E036,29,48000,East,Sales,3,False,0.05,2021-08-30
E037,34,59000,North,Marketing,7,False,0.07,2016-02-11
E038,44,78000,South,Engineering,15,True,0.13,2008-12-03
E039,26,40000,West,Operations,1,False,0.03,2023-09-20
E040,39,70000,East,Engineering,11,True,0.11,2012-06-28
E041,30,50000,North,Sales,4,False,0.05,2020-10-15
E042,,45000,South,Sales,2,False,0.05,2022-04-12
E043,37,62000,West,Marketing,8,False,0.08,2015-07-09
E044,33,58000,East,Operations,6,False,0.06,2017-11-22
E045,43,76000,North,Engineering,14,True,0.12,2009-03-17
E046,28,45000,South,Sales,2,False,0.05,2022-06-01
E047,35,65000,West,Engineering,8,True,0.10,2015-09-14
E048,41,75000,East,Engineering,13,True,0.12,2010-01-26
E049,30,50000,North,Marketing,4,False,0.05,2020-05-19
E050,38,68000,South,Operations,9,False,0.08,2014-12-10
E051,32,55000,West,Operations,6,False,0.06,2018-02-20
E052,46,90000,East,Engineering,19,True,0.17,2004-08-15
E053,27,42000,North,Sales,1,False,0.04,2023-07-11
E054,36,60000,South,Marketing,7,False,0.07,2016-04-25
E055,43,76000,West,Engineering,14,True,0.12,2009-10-30
E056,29,48000,East,Sales,3,False,0.05,2021-02-14
E057,34,59000,North,Operations,7,False,0.07,2016-10-08
E058,,65000,South,Engineering,8,True,0.10,2015-11-18
E059,26,40000,West,Operations,1,False,0.03,2023-10-05
